player,position,ktc_val,year,pff grade
Bijan Robinson,RB,9998,23,
Caleb Williams,QB,8610,24,
Bryce Young,QB,8531,23,
Marvin Harrison Jr.,WR,8033,24,
C.J. Stroud,QB,7516,23,
Jahmyr Gibbs,RB,7291,23,
Jaxon Smith-Njigba,WR,6696,23,
Quentin Johnston,WR,5619,23,
Jordan Addison,WR,5494,23,
TreVeyon Henderson,RB,5442,24,
Brock Bowers,TE,4824,24,
Drake Maye,QB,4449,24,
Zach Evans,RB,4413,23,
Quinn Ewers,QB,4396,24,
Will Levis,QB,4368,23,
Kayshon Boutte,WR,4062,23,
Anthony Richardson,QB,3928,23,
Sean Tucker,RB,3911,23,
Michael Mayer,TE,3861,23,
Josh Downs,WR,3811,23,
Emeka Egbuka,WR,3609,24,
Tank Bigsby,RB,3568,23,
Nicholas Singleton,RB,3339,24,
Blake Corum,RB,3337,23,
Zach Charbonnet,RB,3305,23,
Jalin Hyatt,WR,3202,23,
Braelon Allen,RB,3015,24,
Will Shipley,RB,2987,24,
Xavier Worthy,WR,2916,24,
Devon Achane,RB,2670,24,
Donovan Edwards,RB,2271,24,
Raheim Sanders,RB,1983,24,
Zay Flowers,WR,1973,23,
Marvin Mims Jr.,WR,1954,23,
Darnell Washington,TE,1952,46,
Kendall Milton,RB,1864,24,
Rakim Jarrett,WR,1790,23,
Ja'Corey Brooks,WR,1788,24,
Jermaine Burton,WR,1701,23,
Jase McClellan,RB,1698,24,
Branson Robinson,RB,1696,24,
