ovr rank,player,position,ktc_val,year,year rank
1,Bijan Robinson,RB,9984,23,1
2,Caleb Williams,QB,8888,24,1
3,Bryce Young,QB,8475,23,2
4,Marvin Harrison Jr.,WR,7903,24,2
5,C.J. Stroud,QB,7458,23,3
6,Jahmyr Gibbs,RB,6935,23,4
7,Jaxon Smith-Njigba,WR,6909,23,5
8,Jordan Addison,WR,5758,23,6
9,Drake Maye,QB,5432,24,3
10,Quentin Johnston,WR,5297,23,7
11,Brock Bowers,TE,5089,24,4
12,TreVeyon Henderson,RB,4750,24,5
13,Will Levis,QB,4641,23,8
14,Anthony Richardson,QB,4285,23,9
15,Michael Mayer,TE,4265,23,10
16,Kayshon Boutte,WR,4223,23,11
17,Sean Tucker,RB,4134,23,12
18,RB,3976,23,12
19,Quinn Ewers,QB,3920,24,6
20,Tank Bigsby,RB,3783,23,13
21,Josh Downs,WR,3775,23,14
22,Emeka Egbuka,WR,3680,24,7
23,RB,3513,24,7
24,Nicholas Singleton,RB,3210,24,8
25,Braelon Allen,RB,3090,24,9
26,RB,2938,24,9
27,WR,2884,24,9
28,RB,2760,24,9
29,Xavier Worthy,WR,2610,24,10
30,RB,2603,24,10
31,RB,2226,24,10
32,WR,2213,24,10
33,Raheim Sanders,RB,2042,24,11
34,Zay Flowers,WR,1995,23,15
35,Darnell Washington,TE,1887,23,16
36,RB,1847,23,16
37,Kendall Milton,RB,1836,24,12
38,WR,1750,24,12
39,Jermaine Burton,WR,1729,23,17
40,Jase McClellan,RB,1703,24,13
41,Rakim Jarrett,WR,1701,23,18
42,Ja'Corey Brooks,WR,1689,24,14
