ovr rank,player,position,ktc_val,year,year rank
1,Bijan Robinson,RB,9984,23,1
2,Caleb Williams,QB,8888,24,1
3,Bryce Young,QB,8475,23,2
4,Marvin Harrison Jr.,WR,7903,24,2
5,C.J. Stroud,QB,7458,23,3
6,Jahmyr Gibbs,RB,6935,23,4
7,Jaxon Smith-Njigba,WR,6909,23,5
8,Jordan Addison,WR,5758,23,6
9,Drake Maye,QB,5432,24,3
10,Quentin Johnston,WR,5297,23,7
11,Brock Bowers,TE,5089,24,4
12,TreVeyon Henderson,RB,4750,24,5
13,Will Levis,QB,4641,23,8
14,Anthony Richardson,QB,4285,23,9
15,Michael Mayer,TE,4265,23,10
16,Kayshon Boutte,WR,4223,23,11
17,Sean Tucker,RB,4134,23,12
18,Zach Evans,RB,3976,23,13
19,Quinn Ewers,QB,3920,24,6
20,Tank Bigsby,RB,3783,23,14
21,Josh Downs,WR,3775,23,15
22,Emeka Egbuka,WR,3680,24,7
23,Zach Charbonnet,RB,3513,23,16
24,Nicholas Singleton,RB,3210,24,8
25,Braelon Allen,RB,3090,24,9
26,Blake Corum,RB,2938,23,17
27,Jalin Hyatt,WR,2884,23,18
28,Will Shipley,RB,2760,24,10
29,Xavier Worthy,WR,2610,24,11
30,Devon Achane,RB,2603,24,12
31,Donovan Edwards,RB,2226,24,13
32,Marvin Mims Jr.,WR,2213,23,19
33,Raheim Sanders,RB,2042,24,14
34,Zay Flowers,WR,1995,23,20
35,Darnell Washington,TE,1887,23,21
36,Kendre Miller,RB,1847,23,22
37,Kendall Milton,RB,1836,24,15
38,Julian Fleming,WR,1750,24,16
39,Jermaine Burton,WR,1729,23,23
40,Jase McClellan,RB,1703,24,17
41,Rakim Jarrett,WR,1701,23,24
42,Ja'Corey Brooks,WR,1689,24,18
