ovr rank,player,position,ktc_val
1,A.J. Brown,WR,6583
2,Breece Hall,RB,6206
3,Kyler Murray,QB,5795
4,Tua Tagovailoa,QB,5496
5,DK Metcalf,WR,5372
6,Drake London,WR,5240
7,Javonte Williams,RB,5015
8,2023 1st from CTE Survivors,PICK,5012
9,2024 1st from CTE Survivors,PICK,4657
10,2024 1st from CDSN’s Gem Miners,PICK,4657
11,2024 1st from Orange Sherbert,PICK,4657
12,Jerry Jeudy,WR,4508
13,2025 1st from CDSN’s Gem Miners,PICK,4189
14,Miles Sanders,RB,3967
15,2023 2nd from CTE Survivors,PICK,3352
16,Alec Pierce,WR,3066
17,2024 2nd from CTE Survivors,PICK,3064
18,Skyy Moore,WR,2841
19,Evan Engram,TE,2704
20,2025 2nd from CTE Survivors,PICK,2690
21,Trey McBride,TE,2639
22,Michael Carter,RB,2501
23,Clyde Edwards-Helaire,RB,2184
24,Kenneth Gainwell,RB,2084
25,Kyren Williams,RB,1996
26,Devin Duvernay,WR,1724
27,2024 3rd from Milf slayerz,PICK,1650
28,Tyrion Davis-Price,RB,1335
29,Joshua Kelley,RB,1224
30,Ben Skowronek,WR,1108
31,Jauan Jennings,WR,1090
32,Chris Moore,WR,769
33,Braxton Berrios,WR,725
34,Marvin Jones,WR,704
35,Justin Jackson,RB,680
36,Boston Scott,RB,613
37,Mo Alie-Cox,TE,580
38,Darrel Williams,RB,560
39,Randall Cobb,WR,287
